id,ner_tags,tokens
17,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['بچه', 'ها', 'امشب', 'در', 'خانه', 'ما', 'حدود', '12', 'پیتزا', 'برای', 'درب', 'صندوق', 'عقب', 'می', 'پزند.', 'با', 'این', 'حال', 'در', 'این', 'مکان', 'بوی', 'تازگی', 'می', 'دهد.']"
18,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['من', 'قلب', 'پارک', '(ینگ)', 'روز!', 'عکس', 'کوسه', 'متری', ':', 'http://bit.ly/aQun1b']"
19,"['O', 'O', 'O', 'O']","['روز', 'همه', 'چطور', 'میگذره']"
20,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@Phoebe1_', 'و', 'من', 'هم', 'سال', 'های', 'گذشته', 'ورود', 'یوروویژن', 'را', 'دوست', 'داشتم!!', 'هوپا', '!', 'اونا', 'هم', 'باحال', 'بودن!!']"
21,"['B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['MetroPCS', 'بدترین', 'خدمات', 'مشتری', 'را', 'دارد', 'که', 'در', 'چند', 'ماه', 'اخیر', 'تجربه', 'کرده\u200cام', '(تلاش', 'برای', 'کمک', 'به', 'کسی', 'برای', 'سفارش', 'تلفن)', '#metropcs', '#شکست']"
22,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@xSophieBx', 'او', 'عادت', 'دارد', 'همزمان', 'با', 'شما', 'توییت', 'کند']"
23,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['یک', 'دوست', 'واقعی', 'وقتی', 'وارد', 'می', 'شود', 'که', 'بقیه', 'بیرون', 'می', 'روند!']"
24,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['آره', '@penguin', 'هفته', 'آینده', 'به', 'دیدن', 'من', 'می', 'آید', '...', 'اکنون', 'نقشه', 'آشپزی', 'ام', 'را', 'می', 'کشم!']"
25,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@_mistercory', '*به', 'او', 'لبخند', 'می\u200cزند*', 'آیا', 'می\u200cتوانیم', 'قبل', 'از', 'دور', 'دوم', 'کمی', 'با', 'هم', 'بنشینیم؟']"
26,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['اشک', 'ها', 'ممکن', 'است', 'بوده', 'باشند', 'و', 'رفته', 'باشند،', 'اما', 'این', 'احساس', 'همچنان', 'ثابت', 'مانده', 'است.']"
27,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@BieberEgypt', 'من', 'یک', 'خبر', 'بد', 'دارم،', 'آره', 'من', 'نمی', 'توانم', 'فردا', 'به', 'جلسه', 'بیایم.', ':', 'اس']"
28,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@abzmedic', 'به', 'خاطر', 'کار', 'دلم', 'برای', 'پاییز', 'تنگ', 'شده', '.', ':(', 'فردا', 'باید', 'برم', 'تو', 'جنگل', '!']"
29,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['بچه', 'ها', 'فقط', 'PussyY', 'را', 'لیس', 'ندهید،', 'آن', 'را', 'دوست', 'دارید!', 'لذت', 'ببر', '.', 'مثل', 'اینکه', 'تازه', 'ازدواج', 'کردی', '&lt;', 'واعظ', 'گفت', 'می', 'توانید', 'عروس', 'را', 'ببوسید']"
30,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['RT', '@Sexstrology:', 'ماهی', 'ها', 'تمایل', 'دارند', 'به', 'رویاهای', 'فانتزی', 'و', 'روزانه', 'فرار', 'کنند.', 'آنجا', 'آزاد', 'هستند.']"
31,"['O', 'O', 'O', 'B-group', 'I-group', 'O', 'O', 'O', 'B-person', 'I-person']","['نمیتونم', 'منتظر', 'بازی', 'کلاغ', 'ها', 'فردا', 'باشم...', 'برو', 'برنج', 'پرتو']"
32,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['من', 'فقط', '""وقتی', 'مادرت', 'مجبورت', 'می', 'کند', 'با', 'پدرت', 'اسکوتر', 'براون', 'زندگی', 'کنی،', 'زندگیت...""', 'را', 'گرفتم', 'و', 'گرفتم:', 'قسمت', '7!', 'آن', 'را', 'امتحان', 'کنید:', 'http://tinyurl.com/27r2pdz']"
33,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['دلم', 'برای', 'دویدن', 'و', 'رقصیدن', 'در', 'تمام', 'طول', 'روز', 'تنگ', 'شده', 'به', 'جای', 'اینکه', 'هر', 'پنج', 'دقیقه', 'از', 'عمرم', 'نفس', 'بکشم.']"
34,"['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@SnoopDogg', 'هی', 'اسنوپ', 'همسرم', 'کت', 'امروز', '30', 'ساله', 'است،', 'هر', 'فرصتی', 'برای', 'فریاد', 'زدن', 'به', 'او', 'وجود', 'داشته', 'باشد.']"
35,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['امروز', 'در', 'محل', 'کارم', 'ترفیع', 'گرفتم', 'و', 'فردا', 'برای', 'چند', 'روز', 'به', 'خانه', 'ویسکانسین', 'می', 'روم.', 'پس', 'همین', 'الان', 'از', 'زندگی', 'راضی', 'باش', ':)']"
36,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O']","['توییت', '!', '@stjosephs', 'Empls', 'of', 'the', 'Month', ':', 'دبورا', 'ال', '#سخنرانی', '#پاتولوژیست-توانبخشی', 'کودکان', 'و', 'پاتریشیا', 'ام', '#ارجاع/#Auth', '#Spec-#Womens', '#Care', '!']"
37,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'O', 'O', 'O', 'O']","['RT', '@LilTwist:', 'اگر', 'می\u200cخواهید', 'بعداً', 'امشب', 'به', 'صورت', 'زنده', 'در', 'Ustream', 'برگردم', 'این', 'را', 'RT', 'کنید']"
38,"['O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['واقعاً', 'امیدوارم', 'که', 'بتوانم', 'برای', 'استخوان', 'زمستان', 'به', '@glasgowfilm', 'برسم', '-', 'باید', 'امشب', 'با', 'درخواست', 'های', 'شغلی', 'ادامه', 'دهم!', 'تریلر:', 'http://bit.ly/bhUlum']"
39,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['RT', '@WeSpazForJB', ':', 'http://twitpic.com/2nn4ee', '&lt;', '----', 'هنوز', 'خنده', 'دار', 'ترین', 'عکس', '.', 'تمام', 'دوران', '.', 'همیشه', '.']"
40,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","['من', 'این', 'هفته', 'مقدار', 'زیادی', 'پرتقال', 'خوردم...']"
41,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O']","['تونیت', 'بون', 'فایر', '.', 'همه', 'خوش', 'آمدید،', 'جو', 'گنجانده', 'شده', 'است']"
42,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@KFSH', 'کاملا!', 'من', 'می', 'توانم', 'یک', 'هفته', 'بدون', 'تلویزیون،', 'تلفن', 'یا', 'کامپیوتر', 'بروم.', 'من', 'برای', 'خودم', 'و', 'خداوند', 'وقت', 'می', 'گذارم.', 'آرامش', 'را', 'به', 'زندگی', 'من', 'می', 'آورد.']"
43,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['من', 'می\u200cخواهم', 'حمام', 'کنم', 'اما', 'حمام', 'نمی\u200cکنم،', 'ساکت', 'شو،', 'سام', 'فردا', 'می\u200cآید', 'و', 'استیو', 'و', 'تانیا', 'ساعت', '10', 'صبح', 'گرد', 'خواهند', 'بود،', 'پس', 'برو', 'که', 'منظورت', 'مردم', 'است']"
44,"['B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['SF', 'خاخام', 'ها', 'قبل', 'و', 'بعد', 'از', 'یوم', 'کیپور', 'چه', 'می', 'خورند؟', 'ما', 'از', 'پنج', 'نفر', 'خواستیم', 'که', 'ما', 'را', 'روشن', 'کنند!', 'از', 'طریق', '@SFoodie', 'http://bit.ly/aQrFUz']"
45,"['O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O']","['نه', 'تنها', 'سی', 'و', 'دومین', 'سالگرد', '#BattlestarGalactica', 'است،', 'بلکه', 'تونیت', 'اولین', 'فصل', 'سوم', '#StarWars', '#TheCloneWars', 'است!!']"
46,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['فقط', 'در', 'مورد', 'از', 'کار!', 'دوباره', 'به', 'توسکا', 'میروم', ':)', 'بله', '.', 'امیدوارم', 'امروز', 'کدی', 'آی', 'پاد', 'را', 'از', 'طریق', 'ایمیل', 'دریافت', 'کرده', 'باشیم.']"
47,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['RT', '@Slijterijmeisje', ':', 'Kreeg', 'net', 'een', 'bruikbare', 'tip', 'van', 'iemand', 'die', 'vorige', 'week', 'was', 'begonnen', 'met', 'een', 'whiskydieet', ',', 'hij', 'was', 'nu', 'al', '3', 'dagen', 'kwijt']"
48,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['احمقانه', 'است', 'من', 'از', 'دریافت', 'یک', 'نگرش', 'از', 'طرف', 'PPL', 'متنفرم', 'وقتی', 'من', 'سعی', 'می', 'کنم', 'خوب', 'باشم.', 'WTF', 'در', 'حال', 'حاضر', 'من', 'دیوانه', 'هستم', 'بنابراین', 'فعلاً', 'با', 'من', 'صحبت', 'نمی', 'کنم']"
49,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-creative-work', 'B-person', 'I-person', 'B-person', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O']","['RT', '@DamnTeenQuotes:', 'یادم', 'می\u200cآید', 'زمانی', 'که', 'در', 'سن', 'شما', 'بودم،', 'اسپنسر', 'از', 'iCarly', 'استیو', 'دیوانه', 'کارلی', 'مگان', 'و', 'جاش', 'چاق', 'بود.', '#نقول', 'لعنتی']"
50,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['آخرین', 'ایستگاه', 'روز', 'متشکرم', 'goddddd', '(@', 'HEB', 'Plus', ')', 'http://4sq.com/7RDhgd']"
51,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@itzkeving', 'من', 'این', 'دوشنبه', 'مال', 'خودم', 'را', 'می', 'گیرم', "":')""]"
52,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['#Fancyflow', '..', 'من', 'الان', 'در', 'آرایشگاه', 'هستم', '..', 'smh', '..', 'جمعه', '،', 'اینجا', 'پر', 'شده', 'RT', '@neimanMarcus203', ':', '@ihavesuperpower', 'کجاست؟؟؟']"
53,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O']","['@vogueglamGIRL', 'آه', 'من', 'می', 'دانم!', 'او', 'به', 'سادگی', 'بهترین', 'در', 'شماره', 'سپتامبر', 'است.', 'عمه', 'دوست', 'پسرم', 'برای', 'آنا', 'وینتور', 'در', 'نیویورک', 'کار', 'می', 'کرد.']"
54,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['قبل', 'از', 'اینکه', 'بچسبند', 'باید', 'اجازه', 'دهید', 'آن', 'را', 'لیس', 'بزنند']"
55,"['O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'B-corporation', 'I-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['امروزه', 'افراد', 'زیادی', 'آیفون', 'ها', 'خود', 'را', 'در', 'فیس', 'بوک', 'نشان', 'می', 'دهند،', 'بنابراین', '&lt;', 'همینطور', 'در', 'چنین', 'مکانی', ',', 'واقعاً', 'جالب', 'نیست', ';o', ')']"
56,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@Infamous__Kid', 'lol', 'تو', 'همیشه', 'با', 'موهایت', 'مشکل', 'داشتی', 'دفعه', 'قبل', 'چیزی', 'گفتی', 'مثل', 'اینکه', 'درست', 'نکردند.']"
57,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['برای', 'کدی', 'که', 'از', '9', 'سپتامبر', 'نوشته', 'ام،', 'تاخیر', 'بین', 'تعهد', 'به', 'SCM', 'و', 'اجرای', 'روی', 'سخت', 'افزار', 'مشتری', 'حدود', '10', 'روز', 'بوده', 'است.']"
58,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['و', 'هر', 'چیزی', 'که', 'برای', 'آن', 'ایستاده', 'اید،', 'به', 'شما', 'می', 'چرخد', 'تا', 'با', 'شما', 'دشمنی', 'کند؟', 'وقتی', 'شما', 'منبع', 'اصلی', 'درد', 'او', 'می', 'شوید', 'چه', 'اتفاقی', 'می', 'افتد؟']"
59,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'O', 'B-location', 'I-location', 'I-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['ای', 'بچه', 'ها!', 'گروه', 'بزرگ', 'جمعه', 'ACF', 'امروز', 'در', 'دانشگاه', 'PITT', 'است!', 'ساعت', 'کلیسای', 'جامع', 'یادگیری', 'G24', 'ساعت', '7', 'عصر', 'است!', 'حتما', 'آن', 'را', 'بررسی', 'کنید!']"
60,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['RT', '@WALuvsKatStacks:', 'آه،', 'من', 'برای', 'دنبال', 'کردن', 'درخواست', 'کردم', '-', 'زمانی', 'که', 'قبلاً', 'یکی', 'را', 'داشتم', 'تا', 'آنها', 'مرا', 'تشنه', 'lmao', 'صدا', 'کنند؟', 'فک', 'تو', '#تیم', 'کتک\u200cسوخ', '...']"
61,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O']","[':(', 'RT', '@themaine', 'چه', 'کسی', 'به', 'برنامه', 'فردا', 'در', 'هاوایی', 'می', 'آید؟']"
62,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['غذای', 'چینی', '..', 'برای', 'امشب', 'بمانید', 'اما', 'فردا', 'یا', 'یکشنبه', 'به', 'تیراندازی', 'با', 'کمان', 'بروید']"
63,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['@Strigy', 'امروز', 'مال', 'من', 'را', 'در', 'bbt', 'aintree', 'دریافت', 'کرد.', 'در', 'فروشگاه', 'روی', 'آن', 'تنیس', 'روی', 'میز', 'بازی', 'کرد!', 'V', 'تحت', 'تاثیر', 'قرار', 'گرفت.', 'کنترلر', 'آنالوگ', '2', 'گرفتید؟']"
64,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['RT', '@Luq_Combs:', 'خنده', 'دارترین', 'چیزی', 'که', 'این', 'هفته', 'شنیدم.', 'وینگو', 'به', 'من', 'بگو', 'و', 'چوب', '.', '""من', 'میترسم""', '#pow#pow#pow@Cowboy_Wingo']"
65,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['تشویق', 'امروز', 'از', 'لحظه', 'ای', 'که', 'فهمیدم', 'امروز', 'کلاس', 'ندارم', 'از', 'وحشتناک', 'به', 'عالی', 'تبدیل', 'شد.']"
66,"['B-corporation', 'I-corporation', 'I-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'O', 'O']","['کابل', 'تایم', 'وارنر', 'بایکوت', 'کردن', 'کانال', 'فیلم', 'Epix', 'چون', 'با', 'نتفلیکس', 'معامله', 'کرد', 'http://dlvr.it/5RgcL']"
67,"['O', 'O', 'O', 'O', 'O', 'O']","['امروز', 'بخش', 'روان', 'را', 'تازه', 'کنید']"
68,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","['امروز', 'عالی', 'بود،', 'بالاخره', 'استراحت', 'کردم', ':)']"
69,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['سن', 'من', 'در', '#توئیتر', '458', 'روز', '0', 'ساعت', '3', 'دقیقه', 'و', '49', 'ثانیه', 'است.', 'مال', 'خود', 'را', 'در', 'http://twitter.seocoder.org/', '#twittertime', 'بیابید']"
70,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['مردم', 'و', 'وقت', 'شناسی', 'چه', 'خبر؟', 'من', 'قبلاً', 'آن', 'مرد', 'بودم', 'و', 'صادقانه', 'بگویم،', 'اکنون', 'در', 'مه', 'است.', 'فقط', 'سر', 'وقت', 'باش', 'این', 'مثل', 'یک', 'شگفتی', 'نیست.']"
71,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['بعد', 'از', 'اینکه', 'یک', 'بچه', 'گربه', 'را', 'در', 'جی', 'اف', 'کی', 'نوازش', 'کردم،', 'صاحبان', 'به', 'من', 'اطلاع', 'دادند', 'که', '«دو', 'پنجه»', '(پلی', 'داکتیل)', 'است', 'که', '«یک', 'نوع', 'عقب', 'ماندگی', 'در', 'قلمرو', 'حیوانات»', 'است.']"
72,"['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['پسر', 'روح', '|', 'TheDeAndreWay.', 'com', '-', 'The', 'DeAndre', 'Way', 'در', 'فروشگاه', 'ها', 'نوامبر', '.', '2،', '2010', 'http://t.co/woAiLlZ', 'از', 'طریق', '@SouljaBoy']"
73,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['درباره', 'متخصص', 'تغذیه', 'آنلاین:', 'مدفوع', 'نازک\u200cتر', 'از', 'حد', 'معمول', 'را', 'می\u200cتوان', 'قبل', 'از', '2', 'هفته', 'قبل', 'شناسایی', 'و', 'خارج', 'کرد', 'J', '...', 'http://bit.ly/cYGBdz']"
